Episode,Hit,SR,MSE
1,0.0,67.0,0.07839999999999996
2,0.0,-20.0,0.16909999999999992
3,0.0,-5.0,0.4664
4,0.0,-3.0,0.09640000000000006
5,0.0,-4.0,0.09790000000000001
6,0.0,-3.0,0.049099999999999984
7,0.0,-7.0,0.08509999999999998
8,0.0,-3.0,0.02910000000000001
9,1.0,61.0,0.049099999999999984
10,0.0,-8.0,0.0651
11,0.0,-2.0,0.02
12,0.0,-3.0,0.02
13,0.0,-4.0,0.02910000000000001
14,0.0,-6.0,0.049099999999999984
15,0.0,0.0,0.0984
16,0.0,-38.0,0.02
17,0.0,-8.0,0.049099999999999984
18,0.0,-3.0,0.02910000000000001
19,0.0,0.0,0.02
20,0.0,-3.0,0.049099999999999984
21,0.0,-5.0,0.03840000000000001
22,0.0,-5.0,0.02
23,0.0,0.0,0.02
24,0.0,3.0,0.049099999999999984
25,0.0,-8.0,0.02910000000000001
26,0.0,0.0,0.049099999999999984
27,0.0,-5.0,0.03840000000000001
28,0.0,0.0,0.02
29,0.0,0.0,0.02
30,1.0,15.0,0.02
31,0.0,0.0,0.05640000000000001
32,0.0,0.0,0.02
33,0.0,0.0,0.02
34,0.0,-5.0,0.0651
35,0.0,0.0,0.02
36,0.0,0.0,0.02
37,0.0,-5.0,0.02
38,0.0,0.0,0.02
39,0.0,-3.0,0.05640000000000001
40,0.0,0.0,0.02
41,0.0,-3.0,0.02
42,0.0,0.0,0.06749999999999998
43,0.0,-2.0,0.049099999999999984
44,0.0,0.0,0.02
45,0.0,0.0,0.14040000000000005
46,0.0,-5.0,0.049099999999999984
47,0.0,0.0,0.02
48,0.0,0.0,0.04749999999999998
49,0.0,0.0,0.02
50,0.0,0.0,0.02
51,0.0,0.0,0.049099999999999984
52,0.0,-3.0,0.04
53,0.0,0.0,0.039599999999999975
54,0.0,0.0,0.02
55,0.0,0.0,0.02
56,0.0,0.0,0.049099999999999984
57,0.0,0.0,0.02
58,0.0,0.0,0.02
59,0.0,0.0,0.04749999999999998
60,1.0,29.0,0.02
61,0.0,0.0,0.02
62,0.0,0.0,0.16
63,0.0,0.0,0.049099999999999984
64,0.0,0.0,0.039599999999999975
65,0.0,0.0,0.02
66,0.0,0.0,0.02
67,0.0,0.0,0.02
68,0.0,0.0,0.02
69,0.0,0.0,0.02
70,0.0,0.0,0.049099999999999984
71,0.0,0.0,0.02
72,0.0,0.0,0.04749999999999998
73,0.0,0.0,0.02
74,0.0,0.0,0.02
75,0.0,0.0,0.02
76,0.0,0.0,0.02
77,0.0,0.0,0.02
78,0.0,0.0,0.02
79,0.0,0.0,0.02
80,0.0,-1.0,0.14
81,0.0,0.0,0.08509999999999998
82,0.0,0.0,0.02
83,0.0,0.0,0.02
84,0.0,0.0,0.02
85,0.0,0.0,0.02
86,0.0,0.0,0.05640000000000001
87,0.0,0.0,0.02
88,0.0,0.0,0.049099999999999984
89,0.0,0.0,0.02
90,0.0,0.0,0.02
91,0.0,0.0,0.02
92,0.0,0.0,0.02
93,0.0,0.0,0.02
94,0.0,0.0,0.02
95,0.0,0.0,0.02
96,0.0,-1.0,0.02910000000000001
97,0.0,0.0,0.02
98,0.0,0.0,0.02
99,0.0,0.0,0.02
100,0.0,0.0,0.02
101,0.0,0.0,0.02
102,0.0,0.0,0.02
103,0.0,0.0,0.2275
104,0.0,0.0,0.03840000000000001
105,0.0,0.0,0.02
106,0.0,0.0,0.02
107,0.0,0.0,0.039599999999999975
108,0.0,0.0,0.02
109,0.0,0.0,0.02
110,0.0,0.0,0.02
111,0.0,0.0,0.02
112,0.0,0.0,0.02
113,0.0,0.0,0.02
114,0.0,0.0,0.02
115,0.0,0.0,0.02
116,0.0,0.0,0.02
117,0.0,0.0,0.02
118,0.0,0.0,0.02
119,0.0,0.0,0.02
120,0.0,0.0,0.02
121,0.0,0.0,0.009899999999999997
122,0.0,0.0,0.02
123,0.0,0.0,0.02
124,0.0,0.0,0.02
125,0.0,0.0,0.02
126,0.0,0.0,0.02
127,0.0,0.0,0.02
128,0.0,0.0,0.02
129,0.0,0.0,0.02
130,0.0,0.0,0.02
131,0.0,0.0,0.02
132,0.0,0.0,0.02
133,0.0,0.0,0.02
134,0.0,-1.0,0.029900000000000006
135,0.0,0.0,0.02
136,0.0,0.0,0.02
137,0.0,0.0,0.02
138,0.0,0.0,0.02
139,0.0,0.0,0.02
140,0.0,0.0,0.02
141,0.0,0.0,0.16
142,0.0,0.0,0.02
143,0.0,0.0,0.02
144,0.0,0.0,0.02
145,0.0,0.0,0.02
146,0.0,0.0,0.02
147,0.0,0.0,0.02
148,0.0,0.0,0.02
149,0.0,0.0,0.02
150,0.0,0.0,0.02
151,0.0,0.0,0.02
152,0.0,0.0,0.02
153,0.0,0.0,0.02
154,0.0,0.0,0.16
155,0.0,0.0,0.02
156,0.0,0.0,0.02
157,0.0,0.0,0.02
158,0.0,0.0,0.02
159,0.0,0.0,0.02
160,0.0,0.0,0.02
161,0.0,0.0,0.02
162,0.0,0.0,0.02
163,0.0,0.0,0.02
164,0.0,0.0,0.02
165,0.0,0.0,0.02
166,0.0,0.0,0.02
167,0.0,0.0,0.02
168,0.0,0.0,0.02
169,0.0,0.0,0.02
170,0.0,0.0,0.02
171,0.0,0.0,0.02
172,0.0,0.0,0.02
173,0.0,0.0,0.14
174,0.0,0.0,0.02
175,0.0,0.0,0.12
176,0.0,0.0,0.02
177,0.0,0.0,0.02
178,0.0,-1.0,0.02
179,0.0,0.0,0.02
180,0.0,0.0,0.02
