Episode,Hit,SR,Variance
1,0.0,-24.0,0.2624
2,0.0,-13.0,0.11309999999999995
3,0.0,84.0,0.23439999999999991
4,0.0,-5.0,0.06749999999999998
5,0.0,-3.0,0.02910000000000001
6,0.0,-2.0,0.05959999999999997
7,1.0,80.0,0.36
8,0.0,-11.0,0.09790000000000001
9,0.0,-3.0,0.049099999999999984
10,0.0,-7.0,0.0651
11,1.0,24.0,0.20240000000000002
12,0.0,-100.0,0.0
13,0.0,-2.0,0.01959999999999999
14,0.0,-6.0,0.07639999999999998
15,0.0,-7.0,0.2051
16,0.0,0.0,0.02
17,0.0,-8.0,0.09359999999999996
18,0.0,-2.0,0.01959999999999999
19,0.0,-3.0,0.049099999999999984
20,0.0,-5.0,0.06749999999999998
21,0.0,-5.0,0.04749999999999998
22,0.0,0.0,0.02
23,0.0,-3.0,0.049099999999999984
24,0.0,-5.0,0.06749999999999998
25,0.0,-5.0,0.04749999999999998
26,0.0,0.0,0.02
27,0.0,0.0,0.02
28,0.0,-8.0,0.09359999999999996
29,0.0,0.0,0.02
30,0.0,-5.0,0.04749999999999998
31,0.0,0.0,0.02
32,0.0,0.0,0.02
33,0.0,-5.0,0.04749999999999998
34,0.0,-3.0,0.049099999999999984
35,0.0,0.0,0.02
36,0.0,-2.0,0.039599999999999975
37,0.0,-3.0,0.049099999999999984
38,0.0,0.0,0.02
39,0.0,-5.0,0.04749999999999998
40,0.0,0.0,0.02
41,0.0,-3.0,0.049099999999999984
42,0.0,0.0,0.02
43,0.0,-2.0,0.039599999999999975
44,0.0,0.0,0.02
45,0.0,-3.0,0.049099999999999984
46,0.0,0.0,0.02
47,0.0,-5.0,0.04749999999999998
48,0.0,0.0,0.02
49,0.0,0.0,0.02
50,0.0,0.0,0.02
51,0.0,-2.0,0.039599999999999975
52,0.0,9.0,0.12190000000000004
53,0.0,29.0,0.2259
54,0.0,33.0,0.24109999999999998
55,1.0,49.0,0.26990000000000003
56,1.0,38.0,0.4756
57,1.0,49.0,0.26990000000000003
58,0.0,48.0,0.26959999999999995
59,1.0,49.0,0.26990000000000003
60,1.0,49.0,0.26990000000000003
61,0.0,40.0,0.26
62,1.0,49.0,0.26990000000000003
63,1.0,46.0,0.3083999999999999
64,1.0,49.0,0.26990000000000003
65,0.0,40.0,0.26
66,0.0,49.0,0.2699
67,0.0,1.0,0.9698999999999998
68,0.0,-1.0,0.009899999999999997
69,1.0,48.0,0.26959999999999995
70,0.0,0.0,0.02
71,0.0,45.0,0.2675000000000001
72,1.0,49.0,0.26990000000000003
73,1.0,49.0,0.26990000000000003
74,1.0,49.0,0.26990000000000003
75,1.0,49.0,0.26990000000000003
76,0.0,36.0,0.4904000000000001
77,1.0,49.0,0.26990000000000003
78,1.0,10.0,0.8900000000000002
79,1.0,49.0,0.26990000000000003
80,0.0,48.0,0.26959999999999995
81,1.0,49.0,0.26990000000000003
82,1.0,48.0,0.2896
83,1.0,49.0,0.26990000000000003
84,1.0,49.0,0.26990000000000003
85,1.0,49.0,0.26990000000000003
86,1.0,49.0,0.26990000000000003
87,0.0,0.0,0.02
88,0.0,48.0,0.26959999999999995
89,1.0,37.0,0.49310000000000004
90,1.0,49.0,0.26990000000000003
91,1.0,2.0,0.9796
92,0.0,36.0,0.2504
93,1.0,9.0,0.8819000000000002
94,0.0,18.0,0.16759999999999997
95,0.0,33.0,0.2611
96,0.0,35.0,0.24749999999999994
97,1.0,49.0,0.26990000000000003
98,1.0,49.0,0.26990000000000003
99,0.0,9.0,0.10190000000000009
100,1.0,49.0,0.26990000000000003
101,1.0,49.0,0.26990000000000003
102,0.0,25.0,0.2075
103,0.0,22.0,0.25160000000000005
104,1.0,49.0,0.26990000000000003
105,0.0,25.0,0.2075
106,0.0,14.0,0.14040000000000005
107,0.0,9.0,0.10190000000000009
108,1.0,8.0,0.9136
109,0.0,26.0,0.21239999999999995
110,1.0,49.0,0.26990000000000003
111,0.0,9.0,0.10190000000000009
112,0.0,48.0,0.26959999999999995
113,1.0,49.0,0.26990000000000003
114,1.0,49.0,0.26990000000000003
115,0.0,34.0,0.2444
116,1.0,49.0,0.26990000000000003
117,0.0,49.0,0.2699
118,0.0,37.0,0.4731
119,1.0,49.0,0.26990000000000003
120,0.0,43.0,0.2650999999999999
121,1.0,49.0,0.26990000000000003
122,0.0,49.0,0.2699
123,1.0,49.0,0.26990000000000003
124,0.0,6.0,0.07640000000000001
125,0.0,43.0,0.2650999999999999
126,0.0,24.0,0.7024000000000001
127,0.0,27.0,0.6570999999999998
128,1.0,49.0,0.26990000000000003
129,0.0,48.0,0.2696
130,0.0,0.0,0.02
131,1.0,49.0,0.26990000000000003
132,1.0,49.0,0.26990000000000003
133,1.0,49.0,0.26990000000000003
134,0.0,18.0,0.16759999999999997
135,1.0,49.0,0.26990000000000003
136,1.0,49.0,0.26990000000000003
137,1.0,46.0,0.3083999999999999
138,1.0,49.0,0.26990000000000003
139,0.0,-1.0,0.009899999999999997
140,1.0,49.0,0.26990000000000003
141,0.0,13.0,0.13310000000000002
142,1.0,49.0,0.26990000000000003
143,0.0,39.0,0.2579000000000001
144,0.0,21.0,0.1859
145,1.0,49.0,0.26990000000000003
146,0.0,16.0,0.15439999999999998
147,0.0,47.0,0.28909999999999997
148,1.0,48.0,0.26959999999999995
149,1.0,49.0,0.26990000000000003
150,0.0,38.0,0.4556
151,0.0,12.0,0.12560000000000004
152,0.0,43.0,0.2650999999999999
153,1.0,49.0,0.26990000000000003
154,1.0,48.0,0.26959999999999995
155,1.0,49.0,0.26990000000000003
156,1.0,39.0,0.43790000000000007
157,1.0,49.0,0.26990000000000003
158,1.0,49.0,0.26990000000000003
159,1.0,49.0,0.26990000000000003
160,1.0,49.0,0.26990000000000003
161,1.0,49.0,0.26990000000000003
162,1.0,39.0,0.4579000000000001
163,0.0,27.0,0.21710000000000002
164,0.0,23.0,0.19710000000000008
165,1.0,49.0,0.26990000000000003
166,1.0,49.0,0.26990000000000003
167,0.0,48.0,0.26959999999999995
168,1.0,18.0,0.7875999999999999
169,1.0,49.0,0.26990000000000003
170,1.0,27.0,0.6570999999999998
171,0.0,4.0,0.058400000000000014
172,1.0,49.0,0.26990000000000003
173,1.0,49.0,0.26990000000000003
174,0.0,48.0,0.26959999999999995
175,1.0,49.0,0.26990000000000003
176,1.0,49.0,0.26990000000000003
177,0.0,29.0,0.2259
178,1.0,47.0,0.30909999999999993
179,1.0,49.0,0.26990000000000003
180,1.0,48.0,0.26959999999999995
181,1.0,49.0,0.26990000000000003
182,1.0,49.0,0.26990000000000003
183,0.0,17.0,0.16110000000000002
184,1.0,49.0,0.26990000000000003
185,1.0,49.0,0.26990000000000003
186,1.0,49.0,0.26990000000000003
187,1.0,49.0,0.26990000000000003
188,1.0,49.0,0.26990000000000003
189,1.0,48.0,0.28959999999999997
190,1.0,49.0,0.26990000000000003
191,1.0,49.0,0.26990000000000003
192,0.0,8.0,0.09359999999999997
193,0.0,48.0,0.26959999999999995
194,1.0,49.0,0.26990000000000003
195,0.0,48.0,0.26959999999999995
196,1.0,49.0,0.26990000000000003
197,1.0,49.0,0.26990000000000003
