Episode,Hit,SR,MSE
1,0.0,42.0,0.6636000000000002
2,0.0,-13.0,0.11309999999999995
3,0.0,32.0,0.8976
4,0.0,-70.0,0.22999999999999995
5,0.0,-5.0,0.06749999999999998
6,0.0,-3.0,0.02910000000000001
7,0.0,-3.0,0.049099999999999984
8,0.0,-9.0,0.08190000000000001
9,0.0,-2.0,0.039599999999999975
10,0.0,-3.0,0.049099999999999984
11,0.0,-7.0,0.0651
12,0.0,0.0,0.04
13,0.0,0.0,0.02
14,0.0,-2.0,0.01959999999999999
15,0.0,-3.0,0.049099999999999984
16,0.0,-5.0,0.06749999999999998
17,0.0,-3.0,0.049099999999999984
18,0.0,-2.0,0.01959999999999999
19,0.0,-3.0,0.049099999999999984
20,1.0,88.0,0.22560000000000005
21,0.0,-78.0,0.39160000000000006
22,0.0,-2.0,0.01959999999999999
23,1.0,98.0,0.03959999999999999
24,1.0,92.0,0.15360000000000004
25,0.0,71.0,0.3458999999999999
26,1.0,90.0,0.18999999999999997
27,0.0,-2.0,0.01959999999999999
28,1.0,95.0,0.0875
29,1.0,98.0,0.03959999999999999
30,1.0,98.0,0.03959999999999999
31,1.0,98.0,0.03959999999999999
32,1.0,97.0,0.049100000000000005
33,1.0,98.0,0.03959999999999999
34,1.0,96.0,0.07839999999999997
35,1.0,96.0,0.07839999999999997
36,1.0,98.0,0.03959999999999999
37,1.0,98.0,0.03959999999999999
38,1.0,97.0,0.049100000000000005
39,0.0,66.0,0.24440000000000006
40,1.0,95.0,0.0875
41,1.0,96.0,0.07839999999999997
42,1.0,96.0,0.05839999999999998
43,0.0,23.0,0.19710000000000008
44,0.0,2.0,0.039599999999999975
45,1.0,98.0,0.03959999999999999
46,1.0,98.0,0.03959999999999999
47,1.0,97.0,0.049100000000000005
48,1.0,37.0,0.25309999999999994
49,1.0,97.0,0.04910000000000001
50,0.0,-98.0,0.03959999999999999
51,1.0,98.0,0.03959999999999999
52,1.0,98.0,0.03959999999999999
53,0.0,47.0,0.26909999999999995
54,1.0,98.0,0.03959999999999999
55,1.0,98.0,0.03959999999999999
56,1.0,96.0,0.07839999999999997
57,1.0,98.0,0.03959999999999999
58,1.0,98.0,0.03959999999999999
59,0.0,-34.0,0.8843999999999994
60,1.0,98.0,0.03959999999999999
61,1.0,97.0,0.049099999999999956
62,0.0,36.0,0.2504
63,1.0,96.0,0.07839999999999997
64,0.0,5.0,0.06749999999999996
65,1.0,97.0,0.04909999999999998
66,1.0,98.0,0.03959999999999999
67,0.0,96.0,0.07839999999999997
68,1.0,97.0,0.04909999999999996
69,0.0,12.0,0.9856000000000003
70,1.0,98.0,0.03959999999999999
71,0.0,42.0,0.8236000000000004
72,1.0,98.0,0.03959999999999999
73,1.0,97.0,0.049100000000000005
74,1.0,95.0,0.08749999999999998
75,0.0,-74.0,0.4523999999999998
76,1.0,96.0,0.07839999999999997
