Episode,Hit,SR,MSE
1,0.0,-3.0,13.029099999999998
2,0.0,68.0,24.857599999999987
3,0.0,24.0,6.202399999999998
4,0.0,24.0,6.202399999999998
5,0.0,24.0,6.202399999999998
6,0.0,24.0,6.202399999999998
7,0.0,24.0,6.202399999999998
8,1.0,49.0,12.2699
9,1.0,1249.0,156.5099
10,1.0,1249.0,156.5099
11,1.0,1249.0,156.5099
12,1.0,1249.0,156.5099
13,1.0,1191.0,164.74190000000002
14,1.0,1224.0,156.44240000000005
15,1.0,1249.0,156.5099
16,1.0,1249.0,156.5099
17,1.0,1248.0,156.7696
18,0.0,1223.0,156.69709999999998
19,1.0,1249.0,156.5099
20,1.0,1249.0,156.5099
21,1.0,1249.0,156.5099
22,0.0,633.0,135.60110000000003
23,0.0,849.0,140.42989999999998
24,1.0,1249.0,156.5099
25,1.0,1249.0,156.5099
26,1.0,1202.0,161.9996
27,1.0,1249.0,156.5099
28,0.0,224.0,51.24239999999996
29,1.0,1224.0,156.44240000000005
30,0.0,1224.0,156.44240000000005
31,0.0,349.0,75.32989999999998
32,1.0,1249.0,156.5099
33,1.0,1224.0,156.44240000000005
34,1.0,1249.0,156.5099
35,1.0,1249.0,156.5099
36,1.0,1249.0,156.5099
37,1.0,1249.0,156.5099
38,1.0,1248.0,156.7696
39,1.0,1221.0,163.70590000000004
40,1.0,1249.0,156.5099
41,1.0,1249.0,156.5099
42,1.0,1249.0,156.5099
43,1.0,1249.0,156.5099
44,0.0,49.0,12.269899999999998
45,1.0,1249.0,156.5099
46,1.0,1210.0,166.49
47,1.0,1249.0,156.5099
48,1.0,1209.0,166.7419
49,1.0,1249.0,156.5099
50,0.0,899.0,144.18990000000002
51,1.0,1249.0,156.5099
52,1.0,649.0,120.38989999999998
53,0.0,449.0,92.34989999999998
54,1.0,1249.0,156.5099
55,1.0,1248.0,156.7696
56,1.0,1249.0,156.5099
57,1.0,1249.0,156.5099
58,1.0,1249.0,156.5099
59,1.0,1249.0,156.5099
60,1.0,1249.0,156.5099
61,1.0,1249.0,156.5099
62,1.0,1192.0,164.49359999999996
63,1.0,1249.0,156.5099
64,0.0,1249.0,156.5099
65,1.0,1212.0,165.9856
66,1.0,1249.0,156.5099
67,1.0,1218.0,157.96760000000003
68,1.0,1249.0,156.5099
69,1.0,1249.0,156.5099
70,1.0,1249.0,156.5099
71,1.0,1232.0,160.8976
72,1.0,1224.0,156.44240000000005
73,1.0,1249.0,156.5099
74,1.0,1249.0,156.5099
75,0.0,474.0,96.29239999999999
76,0.0,1224.0,156.44240000000005
77,1.0,1249.0,156.5099
78,0.0,49.0,12.269899999999998
79,1.0,1249.0,156.5099
80,1.0,1203.0,168.2491
81,0.0,1190.0,164.99
82,1.0,1224.0,156.44240000000005
83,0.0,349.0,75.32989999999998
84,1.0,1229.0,161.6659
85,1.0,1224.0,156.44240000000005
86,1.0,1249.0,156.5099
87,0.0,1224.0,156.44240000000005
88,1.0,1274.0,156.45240000000004
89,1.0,1249.0,156.5099
90,1.0,1249.0,156.5099
91,1.0,1249.0,156.5099
92,1.0,1248.0,156.7696
93,1.0,1249.0,156.5099
94,1.0,1246.0,157.2884
95,1.0,1222.0,156.95160000000004
96,1.0,1249.0,156.5099
97,0.0,24.0,6.202399999999998
98,0.0,474.0,96.29239999999999
99,1.0,1249.0,156.5099
100,1.0,1249.0,156.5099
101,1.0,1249.0,156.5099
102,1.0,1249.0,156.5099
103,1.0,1223.0,156.69709999999998
104,0.0,749.0,131.4099
105,1.0,1205.0,167.7475
106,1.0,1249.0,156.5099
107,1.0,1249.0,156.5099
108,1.0,1224.0,156.44240000000005
109,1.0,1249.0,156.5099
110,1.0,1249.0,156.5099
111,1.0,1216.0,164.97440000000003
112,0.0,1249.0,156.5099
113,1.0,1249.0,156.5099
114,1.0,1249.0,156.5099
115,1.0,1249.0,156.5099
116,1.0,1224.0,156.44240000000005
117,1.0,1249.0,156.5099
118,1.0,999.0,150.2099
119,1.0,1248.0,156.7696
120,0.0,674.0,123.33240000000002
121,1.0,1249.0,156.5099
122,1.0,1249.0,156.5099
123,1.0,1249.0,156.5099
124,1.0,1248.0,156.7696
125,1.0,1249.0,156.5099
126,1.0,1249.0,156.5099
